param PARAM1;
param PARAM2;


param FETOILE1;
param FETOILE2;


param FETOILE1m;
param FETOILE2m;


param number_appliances := 50;

set DEST := APP1	APP2	APP3	APP4	APP5	APP6	APP7	APP8	APP9	APP10	APP11	APP12	APP13	APP14	APP15	APP16	APP17	APP18	APP19	APP20	APP21	APP22	APP23	APP24	APP25	APP26	APP27	APP28	APP29	APP30	APP31	APP32	APP33	APP34	APP35	APP36	APP37	APP38	APP39	APP40	APP41	APP42	APP43	APP44	APP45	APP46	APP47	APP48	APP49	APP50;

param:   minimum_st  maximum_st  prefered_st processing power_processing :=
APP1	9	21	13	4	2.5371
APP2	8	18	13	3	2.4074
APP3	7	24	16	4	3.3355
APP4	10	19	17	1	1.1268
APP5	8	18	13	3	2.6278
APP6	8	20	13	2	1.2087
APP7	10	19	15	3	0.8582
APP8	9	21	17	3	2.3219
APP9	8	20	14	1	1.8504
APP10	6	24	13	2	1.8762
APP11	6	24	9	1	2.4858
APP12	10	18	14	3	2.8109
APP13	5	23	11	4	1.5507
APP14	7	19	9	2	2.4860
APP15	6	20	15	4	1.7485
APP16	10	21	14	3	3.0258
APP17	9	24	16	1	2.9988
APP18	8	20	15	3	1.2693
APP19	7	24	14	2	2.3404
APP20	5	20	14	4	2.2467
APP21	9	22	14	1	2.1222
APP22	5	22	16	2	3.1098
APP23	5	21	16	2	1.2943
APP24	8	22	14	2	1.4542
APP25	5	22	9	4	0.8576
APP26	9	19	13	2	3.3195
APP27	9	18	13	4	2.4367
APP28	9	24	14	2	1.9384
APP29	5	19	8	1	2.4180
APP30	8	18	16	1	2.1341
APP31	8	21	14	3	2.4419
APP32	10	24	21	2	2.1317
APP33	8	22	14	1	2.6631
APP34	9	19	16	2	2.0675
APP35	7	20	13	3	3.4811
APP36	7	21	18	1	1.1560
APP37	9	24	19	3	0.8174
APP38	5	19	10	1	0.8291
APP39	5	23	11	4	0.6908
APP40	6	22	18	2	1.7137
APP41	7	20	16	4	1.8451
APP42	9	19	12	1	1.5974
APP43	9	20	16	2	2.7905
APP44	5	21	12	1	2.3837
APP45	7	18	15	3	2.8159
APP46	8	22	17	3	3.2986
APP47	7	19	11	3	3.4182
APP48	8	20	17	2	1.0761
APP49	8	22	19	3	0.9166
APP50	6	19	13	3	2.5888;




 

# hours
param H :=24;


# Battery data 
param CHARGING_EFF := 0.95;
param DISCHARGING_EFF := 0.95;
param CHARGING_MAX := 3.00;
param DISCHARGING_MAX := 3.00;
param SOC_MAX := 1.00;
param SOC_MIN := 0.20;
param E_BATTERY := 24.00;

# PEAK 
param CONTRACTUAL_PEAK :=  100.00; # 3.60;
param my_alpha := 5.00;





 # Electricity price 
 param	PRICE :=
	1	13
	2	13
	3	13
	4	13
	5	13
	6	13
	7	13
	8	27
	9	27
	10	27
	11	27
	12	27
	13	27
	14	36
	15	36
	16	36
	17	36
	18	36
	19	36
	20	27
	21	27
	22	13
	23	13
	24	13;
		
 # base load 
 param	base_load :=
	1	0.9719965834
	2	0.7800982571
	3	0.7111063648
	4	0.7034212563
	5	0.7555792562
	6	1.0267374664
	7	1.6578026629
	8	2.0886149536
	9	2.0199302389
	10	1.7781492276
	11	1.6750521028
	12	1.6298845834
	13	1.5144429912
	14	1.4380955648
	15	1.3936391243
	16	1.4632731464
	17	1.7743914771
	18	2.382847502
	19	2.7869699993
	20	2.7694794842
	21	2.5701133728
	22	2.3340050937
	23	1.9034942247
	24	1.4606786304;
		
	
		
param pv_production :=	
	1	0
	2	0
	3	0
	4	0
	5	0
	6	0
	7	0
	8	0
	9	0.044
	10	0.172
	11	0.336
	12	0.621
	13	0.86
	14	0.769
	15	0.584
	16	0.466
	17	0.254
	18	0.036
	19	0
	20	0
	21	0
	22	0
	23	0
	24	0;
	
		

